title,text,label,category
ข่าวปลอม อย่าแชร์! ออมสินปล่อยกู้สินเชื่อประชาชนสุขใจ บริการออนไลน์ ผ่านเพจ MyMo ให้ทุนกู้,"ตามที่มีโฆษณาด้านการเงินเกี่ยวกับเรื่องออมสินปล่อยกู้สินเชื่อประชาชนสุขใจ บริการออนไลน์ ผ่านเพจ MyMo ให้ทุนกู้ ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับทางธนาคารออมสิน กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

กรณีที่มีผู้ลงโฆษณาในเฟซบุ๊กที่มีเนื้อหาระบุว่า ออมสินปล่อยกู้สินเชื่อประชาชนสุขใจ บริการออนไลน์ ผ่านเพจ MyMo ให้ทุนกู้ ทางธนาคารออมสิน กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงว่า เพจดังกล่าวได้แอบอ้างนำชื่อและโลโก้ธนาคารออมสินไปใช้ทำโปรไฟล์โดยไม่ได้รับอนุญาต และยังเผยแพร่ข้อมูลที่ไม่เป็นความจริง

อย่างไรก็ตาม เพจเฟซบุ๊กชื่อ MyMo ให้ทุนกู้ ไม่ใช่เพจของธนาคารออมสิน และธนาคารไม่มีส่วนเกี่ยวข้องกับการเผยแพร่ข้อมูลของเพจดังกล่าวใด ๆ ทั้งสิ้น",False,กู้เงิน
ข่าวปลอม อย่าแชร์! ออมสินปล่อยกู้สินเชื่อ Soft Loan SMEs ลงทะเบียนผ่านเพจ Yourcompany,"ตามที่มีการเผยแพร่ข้อมูลประเด็นเรื่องออมสินปล่อยกู้สินเชื่อ Soft Loan SMEs ลงทะเบียนผ่านเพจ Yourcompany ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับทางธนาคารออมสิน กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

เนื่องจากกรณีตรวจพบข้อความพลิกฟื้นธุรกิจ Soft Loan SMEs ลงทะเบียนผ่านเพจ Yourcompany นั้น ทางธนาคารออมสิน กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงว่า เพจเฟซบุ๊กชื่อ Yourcompany ไม่ใช่เพจของธนาคารออมสิน และธนาคารไม่มีส่วนเกี่ยวข้องกับการเผยแพร่ข้อมูลของเพจดังกล่าวใด ๆ ทั้งสิ้น เพจดังกล่าวได้แอบอ้างนำชื่อและโลโก้ธนาคารออมสิน ไปใช้ทำโปรไฟล์โดยไม่ได้รับอนุญาต และยังแพร่ข้อมูลที่ไม่เป็นความจริง

ธนาคารไม่มีนโยบายให้บริการเงินกู้ผ่านทางเฟซบุ๊ก แอปพลิเคชันไลน์ และMessenger อีกทั้งธนาคารได้ยกเลิกการส่ง SMS ที่แนบลิงก์ให้ลูกค้าทุกกรณีแล้ว ดังนั้น เพื่อป้องกันความเสียหายแก่ทรัพย์สินและข้อมูลส่วนบุคคลอันอาจเกิดจากการถูกหลอกลวง",False,กู้เงิน
ข่าวปลอม อย่าแชร์! เพจสินเชื่อธนาคาร ออมสิน กู้เงินฉุกเฉิน ผ่อนจ่าย 24 เดือนจบ,"ตามที่มีการเผยแพร่ข้อมูลประเด็นเรื่องเพจสินเชื่อธนาคาร ออมสิน กู้เงินฉุกเฉิน ผ่อนจ่าย 24 เดือนจบ ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับทางธนาคารออมสิน กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

กรณีการตรวจพบเพจเฟซบุ๊กโฆษณาข้อความกู้เงินฉุกเฉิน กู้ง่ายได้จริง ไม่ยุ่งยาก ผ่อน 24 เดือนจบนั้น ทางธนาคารออมสิน กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงว่า เพจเฟซบุ๊กชื่อ สินเชื่อธนาคาร ออมสินได้แอบอ้างนำชื่อและโลโก้ธนาคารออมสิน ไปใช้ทำโปรไฟล์โดยไม่ได้รับอนุญาต และยังแพร่ข้อมูลที่ไม่เป็นความจริง โดยเพจเฟซบุ๊กดังกล่าวไม่ใช่เพจของธนาคารออมสิน และธนาคารไม่มีส่วนเกี่ยวข้องกับการเผยแพร่ข้อมูลของเพจดังกล่าวใด ๆ ทั้งสิ้น",False,กู้เงิน
"ข่าวปลอม อย่าแชร์! ออมสินปล่อยกู้ 5,000 – 500,000 บาท ดอกเบี้ยร้อยละ 2 บาทต่อเดือน","ตามที่มีข้อมูลข่าวสารเกี่ยวกับเรื่องออมสินปล่อยกู้ 5,000 – 500,000 บาท ดอกเบี้ยร้อยละ 2 บาทต่อเดือน ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับทางธนาคารออมสิน กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

จากกรณีที่มีผู้ให้ข้อมูลที่ระบุว่า ออมสินปล่อยกู้ 5,000 – 500,000 บาท ดอกเบี้ยร้อยละ 2 บาทต่อเดือน ทางธนาคารออมสิน กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงว่า ธนาคารไม่มีนโยบายให้บริการเงินกู้ผ่านทางเฟซบุ๊ก แอปพลิเคชันไลน์ และ Messenger อีกทั้งธนาคารได้ยกเลิกการส่ง SMS ที่แนบลิงก์ให้ลูกค้าทุกกรณีแล้ว ทั้งนี้เพื่อป้องกันความเสียหายแก่ทรัพย์สินและข้อมูลส่วนบุคคลอันอาจเกิดจากการถูกหลอกลวง ขอให้ติดตามข้อมูลข่าวสารและผลิตภัณฑ์ต่าง ๆ ของธนาคารได้จากช่องทางการสื่อสารหลักของธนาคารออมสินโดยตรง",False,กู้เงิน
ข่าวปลอม อย่าแชร์! เพจธนาคารออมสิน CustomerService เปิดให้ลงทะเบียนสินเชื่อสร้างงานสร้างอาชีพ เพื่อช่วยคนตกงาน,"ตามที่มีการแชร์ข้อมูลในสื่อออนไลน์เกี่ยวกับประเด็นเรื่องเพจธนาคารออมสิน CustomerService เปิดให้ลงทะเบียนสินเชื่อสร้างงานสร้างอาชีพ เพื่อช่วยคนตกงาน ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับทางธนาคารออมสิน กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ
จากกรณีที่มีการพูดถึงเรื่อง เพจธนาคารออมสิน CustomerService แอบอ้างเป็นธนาคารออมสินโดยใช้โปรไฟล์และโลกโก้ของธนาคาร พร้อมเผยแพร่โฆษณาเชิญชวนเกี่ยวกับสินเชื่อสร้างงานสร้างอาชีพ วงเงินกู้ 50,000 – 300,000 บาท ดอกเบี้ย 2.99% และให้กดลิงก์ลงทะเบียนบนหน้าเพจนั้น ทางธนาคารออมสิน กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงว่า ธนาคารไม่มีส่วนเกี่ยวข้องกับการเผยแพร่ข้อมูลของเพจดังกล่าวใด ๆ ทั้งสิ้น และเพจดังกล่าวไม่ใช่เพจของธนาคารออมสิน โปรดอย่าได้หลงเชื่อจนกว่าจะตรวจสอบข้อมูลกับทางธนาคารให้ชัดเจนก่อน เนื่องจากธนาคารไม่มีนโยบายให้บริการเงินกู้ผ่านทางเฟซบุ๊กและแอปพลิเคชันไลน์",False,กู้เงิน
ข่าวปลอม อย่าแชร์! ไปรษณีย์ไทยรับสมัครพนักงานตรวจสอบคำสั่งซื้อสินค้า ผ่านเพจเฟซบุ๊ก Qate Z1,"ตามที่มีการเผยแพร่ข้อมูลเรื่องไปรษณีย์ไทยรับสมัครพนักงานตรวจสอบคำสั่งซื้อสินค้า ผ่านเพจเฟซบุ๊ก Qate Z1 ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยบริษัท ไปรษณีย์ไทย จำกัด กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

จากกรณีที่มีผู้โพสต์ระบุว่า ไปรษณีย์ไทยรับสมัครพนักงานตรวจสอบคำสั่งซื้อสินค้า รายได้ 500 – 700 บาทต่อวัน ผ่านเพจเฟซบุ๊ก Qate Z1 นั้น ทางบริษัท ไปรษณีย์ไทย จำกัด กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม ได้ตรวจสอบข้อมูลและชี้แจงว่า เพจเฟซบุ๊กที่ชื่อว่า Qate Z1 มีการแอบอ้างใช้ตราสัญลักษณ์ของทางไปรษณีย์ไทย เพื่อใช้ในการชักชวนโดยไม่ได้รับอนุญาต และทางบริษัท ไปรษณีย์ไทยก็ไม่มีส่วนเกี่ยวข้องกับเพจดังกล่าว ซึ่งหากมีการประกาศรับสมัครงาน ทางไปรษณีย์ไทยจะประกาศในช่องทางหลัก เช่น facebook ไปรษณีย์ไทย และ www.thailandpost.co.th เท่านั้น",False,กู้เงิน
ข่าวปลอม อย่าแชร์! ธนาคารออมสิน ส่ง SMS ให้กดรับสิทธิ์กู้เงิน,"ตามที่มีการส่งต่อข้อมูลในสื่อโซเชียลมีเดียเกี่ยวกับประเด็นเรื่องธนาคารออมสิน ส่ง SMS ให้กดรับสิทธิ์กู้เงิน ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยธนาคารออมสิน กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

จากกรณีที่การส่งต่อข้อมูลเกี่ยวกับ SMS จากเบอร์ +66823027458 ส่งข้อความโดยระบุว่า “ธ.ออมสินให้สิทธิ์คุณยื่นกู้ได้ 100,000+ บาท สนใจคลิก : city.me/Bf3yv” นั้น ทางธนาคารออมสิน กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงประเด็นว่า SMS ดังกล่าวไม่มีความเกี่ยวข้องกับธนาคารแต่อย่างใด และธนาคารออมสินไม่มีบริการเงินกู้ผ่านทาง SMS การกระทำนี้เป็นการแอบอ้างชื่อธนาคารออมสินโดยไม่ได้รับอนุญาต ส่งผลต่อชื่อเสียงและภาพลักษณ์ของธนาคาร รวมถึงการคลิกลิงก์ดังกล่าวเสี่ยงต่อการถูกมิจฉาชีพหลอกลวง ขอให้ประชาชนอย่าหลงเชื่อ ไม่กดลิงก์หรือแอดไลน์ ไม่กรอกข้อมูลส่วนตัว และงดแชร์ข้อมูลดังกล่าว",False,กู้เงิน
ข่าวปลอม อย่าแชร์! เพจ Gsb live ชวนกู้เงินออนไลน์สินเชื่อเพื่อสังคม ,"ตามที่มีข้อมูลถึงประเด็นเรื่องเพจ Gsb live ชวนกู้เงินออนไลน์สินเชื่อเพื่อสังคม  ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยธนาคารออมสิน กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

จากกรณีที่มีการบอกต่อในเรื่องการเงินโดยระบุว่าเพจ Gsb live ชวนกู้เงินออนไลน์สินเชื่อเพื่อสังคม วงเงินสูงสุด 400,000 บาท ผ่อนหมื่นละ 250 บาท นาน 4 ปีนั้น ทางธนาคารออมสิน กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงว่าธนาคารออมสินไม่มีสินเชื่อในชื่อสินเชื่อเพื่อสังคม ตามที่เพจเฟซบุ๊ก Gsb live นำมาเผยแพร่ อีกทั้งธนาคารไม่มีนโยบายให้บริการเงินกู้ผ่านแอปพลิเคชันไลน์ 

โดยเพจดังกล่าวแอบอ้างนำชื่อและโลโก้ของธนาคารออมสินไปใช้ทำโปรไฟล์โดยไม่ได้รับอนุญาต ซึ่งไม่ใช่เพจทางการของธนาคารออมสิน และธนาคารไม่มีส่วนเกี่ยวข้องกับการเผยแพร่ข้อมูลดังกล่าวแต่ประการใด",False,กู้เงิน
ข่าวปลอม อย่าแชร์! ออมสินปล่อยกู้ผ่านเพจ Hojoyo,"ตามที่มีข้อมูลในสื่อออนไลน์เกี่ยวกับประเด็นเรื่องออมสินปล่อยกู้ผ่านเพจ Hojoyo ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยธนาคารออมสิน กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

จากกรณีที่มีการส่งต่อข้อมูลโดยระบุว่าออมสินปล่อยกู้ผ่านเพจ Hojoyo ทางธนาคารออมสิน กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงว่าธนาคารออมสินไม่มีเพจเฟซบุ๊กชื่อ Hojoyo และเพจเฟซบุ๊กดังกล่าวไม่มีความเกี่ยวข้องกับธนาคารแต่อย่างใด พฤติกรรมการเชิญชวนโดยวิธีการวางลิงก์ไว้เพื่อให้กดเข้าไปยื่นสมัครใช้บริการ เป็นการเปิดโอกาสให้มิจฉาชีพได้เข้าถึงตัว มีความเสี่ยงต่อการตกเป็นเหยื่อของการหลอกลวง และมีการนำตราสัญลักษณ์ของธนาคารออมสินไปใช้ประกอบโดยไม่ได้รับอนุญาต",False,กู้เงิน
ข่าวปลอม อย่าแชร์! ออมสินให้สิทธิ์ยื่นกู้ผ่านลิงก์,"ตามที่มีข้อมูลในสื่อออนไลน์เกี่ยวกับประเด็นเรื่องออมสินให้สิทธิ์ยื่นกู้ผ่านลิงก์  ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยธนาคารออมสิน กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

จากกรณีที่มีการส่งต่อข้อมูลโดยระบุว่าออมสินให้สิทธิ์ยื่นกู้ผ่านลิงก์ ทางธนาคารออมสิน กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงว่าเบอร์โทร. และข้อความดังกล่าวไม่ใช่ของธนาคารออมสิน ซึ่งธนาคารไม่ใช้วิธีการส่งข้อความ SMS เชิญชวนหรือแจ้งให้สิทธิ์ยื่นกู้ต่อประชาชน/ลูกค้า ผ่านลิงก์ และไม่มีความเกี่ยวข้องกับการส่งข้อความเช่นนี้แต่อย่างใด",False,กู้เงิน
